dataset,depth,split,method,restricted_class,beta_p,gap,time,gamma,train_acc,test_acc,train_prec,test_prec
blsc,2,4,C-BinOCT,0,0.9,0,2.604662895,0,0.596,0.573,0.919,0.769
blsc,2,4,C-BinOCT,0,0.91,0,2.086205959,0,0.596,0.573,0.919,0.769
blsc,2,4,C-BinOCT,0,0.92,0,2.62984395,0,0.573,0.548,0.948,0.824
blsc,2,4,C-BinOCT,0,0.93,0,1.997401953,0,0.573,0.548,0.948,0.824
blsc,2,4,C-BinOCT,0,0.94,0,2.496041059,0,0.573,0.548,0.948,0.824
blsc,2,4,C-BinOCT,0,0.95,0,2.54511404,0,0.541,0.510,0.950,0.800
blsc,2,4,C-BinOCT,0,0.96,0,3.368089914,0,0.506,0.478,1.000,0.667
blsc,2,4,C-BinOCT,0,0.97,0,3.128633022,0,0.506,0.478,1.000,0.667
blsc,3,1,C-BinOCT,0,0.88,0.969013061,3600.112221,0,0.771,0.694,0.883,0.754
blsc,3,1,C-BinOCT,0,0.89,0.968479458,3600.102073,0,0.767,0.675,0.890,0.754
blsc,3,1,C-BinOCT,0,0.9,0.977322542,3600.073255,0,0.735,0.701,0.912,0.872
blsc,3,1,C-BinOCT,0,0.91,0.974083561,3600.504832,0,0.735,0.701,0.912,0.872
blsc,3,1,C-BinOCT,0,0.92,0.971487166,3600.058663,0,0.731,0.682,0.923,0.884
blsc,3,1,C-BinOCT,0,0.93,0.98638577,3600.089817,0,0.709,0.682,0.930,0.848
